idx,file,prompt,clip,imagereward,vqa,dsg,dsg_claims
0,0000.png,A green colored rabbit.,0.3208388686180115,1.6192145347595215,0.9826954007148743,0.9473154246807098,2
1,0001.png,A green colored rabbit.,0.3162637948989868,1.5085651874542236,0.9806580543518066,0.9547772407531738,2
2,0002.png,A green colored rabbit.,0.32676374912261963,1.6477460861206055,0.9779086112976074,0.9432094097137451,2
3,0003.png,A green colored rabbit.,0.31665390729904175,1.7605297565460205,0.9866018295288086,0.9654625654220581,2
4,0004.png,A green colored rabbit.,0.3012899160385132,1.423137903213501,0.9706538915634155,0.9325278103351593,2
5,0005.png,A green colored rabbit.,0.28959921002388,0.2245786190032959,0.878197968006134,0.9223355054855347,2
6,0006.png,A green colored rabbit.,0.31654125452041626,1.8308981657028198,0.9812569618225098,0.9592995047569275,2
7,0007.png,A green colored rabbit.,0.3193536400794983,1.6380152702331543,0.9824554920196533,0.9648288786411285,2
8,0008.png,A green colored rabbit.,0.3309383988380432,0.6728854179382324,0.9834152460098267,0.9639077186584473,2
9,0009.png,A green colored rabbit.,0.3072281777858734,0.40166884660720825,0.9792226552963257,0.9355117380619049,2
10,0010.png,A green colored rabbit.,0.314883291721344,1.7506937980651855,0.9829351902008057,0.9649630486965179,2
11,0011.png,A green colored rabbit.,0.33144035935401917,1.3853487968444824,0.9841359853744507,0.9399217367172241,2
12,0012.png,A green colored rabbit.,0.29204046726226807,0.4973798990249634,0.9775505661964417,0.9394454956054688,2
13,0013.png,A green colored rabbit.,0.32711708545684814,1.7473779916763306,0.9816163778305054,0.9495191276073456,2
14,0014.png,A green colored rabbit.,0.3190302550792694,1.5831422805786133,0.97922283411026,0.9437991082668304,2
15,0015.png,A green colored rabbit.,0.30879974365234375,1.788577675819397,0.9804186820983887,0.962801069021225,2
16,0016.png,A green colored rabbit.,0.3171485662460327,1.7835137844085693,0.9831753373146057,0.9642291069030762,2
17,0017.png,A green colored rabbit.,0.30720025300979614,1.4435681104660034,0.9824554324150085,0.9690598547458649,2
18,0018.png,A green colored rabbit.,0.32045483589172363,0.9221331477165222,0.9824554324150085,0.9616624116897583,2
19,0019.png,A green colored rabbit.,0.32423725724220276,1.8419140577316284,0.9823355078697205,0.9482699632644653,2
20,0020.png,A green colored rabbit.,0.3243403434753418,1.6204971075057983,0.9843763113021851,0.9621612429618835,2
21,0021.png,A green colored rabbit.,0.30858945846557617,1.5311352014541626,0.9786252379417419,0.9363760650157928,2
22,0022.png,A green colored rabbit.,0.3180857300758362,1.7558175325393677,0.9806580543518066,0.9449664056301117,2
23,0023.png,A green colored rabbit.,0.33166080713272095,0.9592316150665283,0.9765964150428772,0.9086163938045502,2
24,0024.png,A green colored rabbit.,0.3049387037754059,1.6483207941055298,0.980179488658905,0.9393256604671478,2
25,0025.png,A green colored rabbit.,0.31539440155029297,1.6439166069030762,0.9807778000831604,0.954299807548523,2
26,0026.png,A green colored rabbit.,0.33258774876594543,1.6997915506362915,0.9818559288978577,0.9644791185855865,2
27,0027.png,A green colored rabbit.,0.30473631620407104,-0.06693033128976822,0.9731453657150269,0.9395159780979156,2
28,0028.png,A green colored rabbit.,0.3182246685028076,1.2509355545043945,0.9812569618225098,0.9661465287208557,2
29,0029.png,A green colored rabbit.,0.26940464973449707,1.472999095916748,0.9782668352127075,0.9506892561912537,2
